"","cidade_bairro","preco","cidade","bairro","cep","tipo","quartos","suites","banheiros","vagas","area_util","area_total","valor_medio_metro","cluster"
"95","CuritibaAhu",1300000,"Curitiba","Ahu",82200530,1,4,2,2,2,214,264,1.62452243712246,1
"96","CuritibaBatel",804800,"Curitiba","Batel",80250070,1,3,1,4,2,138,248,-0.166557716180536,2
"97","CuritibaAlto da Gloria",1450000,"Curitiba","Alto da Gloria",80030230,1,3,3,4,3,169,169,-0.159396553473786,2
"98","CuritibaCapao Raso",340000,"Curitiba","Capao Raso",81130020,1,2,1,2,1,60,112,-0.2519400733679,2
"99","CuritibaReboucas",259000,"Curitiba","Reboucas",80230070,1,1,0,1,1,34,42,-0.213187797769121,2
"100","CuritibaAgua Verde",750000,"Curitiba","Agua Verde",80620210,1,3,1,2,2,105,158,0.35601609019606,2
"101","CuritibaCentro",290000,"Curitiba","Centro",80060200,1,3,0,2,0,109,109,0.610945818470473,2
"102","CuritibaCristo Rei",285000,"Curitiba","Cristo Rei",80050205,1,3,0,1,1,80,96,-0.238827454619527,2
"103","CuritibaAlto da XV",270000,"Curitiba","Alto da XV",80040120,1,3,0,2,0,100,112,-0.195423666746496,2
"104","CuritibaBatel",990000,"Curitiba","Batel",80250070,1,2,1,2,3,115,194,-0.166557716180536,2
"105","CuritibaBigorrilho",2100000,"Curitiba","Bigorrilho",80430000,1,3,3,5,3,240,322,0.157006899057248,2
"106","CuritibaCentro",175000,"Curitiba","Centro",80420200,1,1,0,1,0,33,48,0.610945818470473,2
"107","CuritibaFazendinha",180000,"Curitiba","Fazendinha",81320420,1,2,0,1,1,48,56,-0.282978625265449,2
"108","CuritibaCentro",210900,"Curitiba","Centro",80020270,1,1,0,1,0,34,52,0.610945818470473,2
"109","CuritibaVila Izabel",370000,"Curitiba","Vila Izabel",80320000,1,3,1,3,1,84,129,0.774648665651767,2
"110","CuritibaCentro",645000,"Curitiba","Centro",80250020,1,2,2,2,2,108,240,0.610945818470473,2
"111","CuritibaXaxim",248000,"Curitiba","Xaxim",81710100,1,3,1,2,1,61,68,-0.281937265951283,2
"112","CuritibaAgua Verde",1250000,"Curitiba","Agua Verde",80620240,1,4,2,5,2,287,158,0.35601609019606,2
"113","CuritibaMerces",308000,"Curitiba","Merces",80430220,1,3,1,2,1,84,124,-0.218963178289305,2
"114","CuritibaBigorrilho",990000,"Curitiba","Bigorrilho",80730070,1,4,1,1,2,275,361,0.157006899057248,2
"115","CuritibaTingui",200000,"Curitiba","Tingui",82600030,1,2,1,2,1,54,80,2.76747025686138,2
"116","CuritibaCapao Raso",229000,"Curitiba","Capao Raso",81130220,1,2,0,1,1,46,70,-0.2519400733679,2
"117","CuritibaEcoville",370000,"Curitiba","Ecoville",81200100,1,2,1,2,1,65,91,0.155132554627676,2
"118","CuritibaCabral",549909,"Curitiba","Cabral",80035030,1,3,1,3,2,104,150,0.120070326886263,2
"119","CuritibaCabral",820000,"Curitiba","Cabral",80035060,1,3,1,3,2,119,220,0.120070326886263,2
"120","CuritibaJuveve",4900000,"Curitiba","Juveve",80540010,1,5,4,8,5,452,670,1.72174867170529,1
"121","CuritibaCabral",1257000,"Curitiba","Cabral",80540400,1,3,3,4,3,168,285,0.120070326886263,2
"122","CuritibaBigorrilho",580000,"Curitiba","Bigorrilho",80730330,1,3,1,2,2,84,139,0.157006899057248,2
"123","CuritibaAlto da Gloria",938900,"Curitiba","Alto da Gloria",80530260,1,3,3,4,2,118,160,-0.159396553473786,2
"124","CuritibaJardim das Americas",250000,"Curitiba","Jardim das Americas",81530470,1,3,0,1,1,67,82,-0.208325734575518,2
"125","CuritibaBatel",3500000,"Curitiba","Batel",80420060,1,4,4,5,5,444,682,-0.166557716180536,2
"126","CuritibaCabral",720900,"Curitiba","Cabral",80035230,1,3,3,4,2,120,223,0.120070326886263,2
"127","CuritibaAgua Verde",1500000,"Curitiba","Agua Verde",80620120,1,3,3,5,2,171,171,0.35601609019606,2
"128","CuritibaMossungue",690000,"Curitiba","Mossungue",81200150,1,3,1,3,2,84,120,5.5332818212284,1
"129","CuritibaSao Francisco",450000,"Curitiba","Sao Francisco",80530070,1,3,1,4,1,114,186,-0.24226739681469,2
"130","CuritibaCascatinha",629650,"Curitiba","Cascatinha",82025160,1,2,1,3,2,115,115,-0.176343372023265,2
"131","CuritibaVila Izabel",1195300,"Curitiba","Vila Izabel",80320070,1,3,1,4,3,200,230,0.774648665651767,2
"132","CuritibaCabral",3000000,"Curitiba","Cabral",80030200,1,3,2,6,4,375,555,0.120070326886263,2
"133","CuritibaVila Izabel",300000,"Curitiba","Vila Izabel",80320070,1,3,1,2,1,70,105,0.774648665651767,2
"134","CuritibaAgua Verde",920000,"Curitiba","Agua Verde",80240060,1,3,1,3,2,150,236,0.35601609019606,2
"135","CuritibaAgua Verde",405000,"Curitiba","Agua Verde",80620010,1,3,1,3,1,89,138,0.35601609019606,2
"136","CuritibaChampagnat",589500,"Curitiba","Champagnat",80730070,1,3,1,2,2,96,148,-0.19438350623857,2
"137","CuritibaNovo Mundo",360000,"Curitiba","Novo Mundo",81050080,1,2,1,1,1,67,126,1.40282914299853,2
"138","CuritibaBatel",1400000,"Curitiba","Batel",80050315,1,4,2,5,2,206,313,-0.166557716180536,2
"139","CuritibaSanta Candida",160000,"Curitiba","Santa Candida",82720000,1,3,0,1,1,58,69,0.879129955283939,2
"140","CuritibaVila Izabel",555891,"Curitiba","Vila Izabel",80320010,1,2,1,2,1,71,117,0.774648665651767,2
"141","CuritibaBacacheri",699900,"Curitiba","Bacacheri",82515260,1,3,1,2,2,132,216,1.12257117600166,2
"142","CuritibaAlto da XV",853199,"Curitiba","Alto da XV",80045100,1,3,1,3,2,97,158,-0.195423666746496,2
"143","CuritibaTingui",239000,"Curitiba","Tingui",82620230,1,1,0,1,1,54,54,2.76747025686138,2
"144","CuritibaPortao",333000,"Curitiba","Portao",81070190,1,2,0,2,2,100,124,-0.242681670098644,2
"145","CuritibaChampagnat",430000,"Curitiba","Champagnat",80420130,1,2,1,1,1,95,95,-0.19438350623857,2
"146","CuritibaCabral",1395000,"Curitiba","Cabral",80035000,1,3,3,4,3,168,285,0.120070326886263,2
"147","CuritibaCabral",2498700,"Curitiba","Cabral",80035000,1,4,4,6,4,283,452,0.120070326886263,2
"148","CuritibaPortao",485000,"Curitiba","Portao",80330340,1,3,1,2,1,79,100,-0.242681670098644,2
"149","CuritibaCampo Comprido",1616303,"Curitiba","Campo Comprido",81200528,1,3,3,5,3,175,295,-0.212594402639083,2
"150","CuritibaBatel",1770070,"Curitiba","Batel",80250070,1,3,3,5,2,227,345,-0.166557716180536,2
"151","CuritibaCapao Raso",190000,"Curitiba","Capao Raso",81020720,1,2,0,1,1,50,55,-0.2519400733679,2
"152","CuritibaEcoville",970000,"Curitiba","Ecoville",81200230,1,3,1,3,2,126,210,0.155132554627676,2
"153","CuritibaMossungue",1399000,"Curitiba","Mossungue",81210220,1,4,3,5,3,277,454,5.5332818212284,1
"154","CuritibaAlto Boqueirao",170000,"Curitiba","Alto Boqueirao",81770260,1,2,0,1,1,44,48,-0.299581643914056,2
"155","CuritibaHugo Lange",1100000,"Curitiba","Hugo Lange",80040252,1,3,1,4,2,125,220,-0.18016723976296,2
"156","CuritibaVila Izabel",690000,"Curitiba","Vila Izabel",80320310,1,3,2,4,2,142,225,0.774648665651767,2
"157","CuritibaEcoville",1020000,"Curitiba","Ecoville",81210000,1,3,1,3,2,132,213,0.155132554627676,2
"158","CuritibaAgua Verde",699900,"Curitiba","Agua Verde",80420120,1,2,2,2,2,98,124,0.35601609019606,2
"159","CuritibaBatel",739360,"Curitiba","Batel",80420090,1,2,1,2,1,66,66,-0.166557716180536,2
"160","CuritibaBigorrilho",735000,"Curitiba","Bigorrilho",80730390,1,3,1,4,1,140,180,0.157006899057248,2
"161","CuritibaAgua Verde",570000,"Curitiba","Agua Verde",80620070,1,3,1,3,1,112,160,0.35601609019606,2
"162","CuritibaBigorrilho",639700,"Curitiba","Bigorrilho",80730080,1,3,1,2,2,87,147,0.157006899057248,2
"163","CuritibaCentro",275000,"Curitiba","Centro",80420120,1,3,0,2,0,117,117,0.610945818470473,2
"164","CuritibaBigorrilho",270000,"Curitiba","Bigorrilho",80730230,1,1,0,1,0,33,60,0.157006899057248,2
"165","CuritibaCristo Rei",1280000,"Curitiba","Cristo Rei",80050470,1,3,3,5,3,182,340,-0.238827454619527,2
"166","CuritibaBigorrilho",750000,"Curitiba","Bigorrilho",80730000,1,3,1,3,2,166,241,0.157006899057248,2
"167","CuritibaEcoville",1850000,"Curitiba","Ecoville",81200100,1,2,2,3,3,183,295,0.155132554627676,2
"168","CuritibaAhu",850000,"Curitiba","Ahu",80540210,1,2,2,3,2,141,187,1.62452243712246,1
"169","CuritibaAgua Verde",1690000,"Curitiba","Agua Verde",80620120,1,3,3,5,2,171,271,0.35601609019606,2
"170","CuritibaSanta Quiteria",265000,"Curitiba","Santa Quiteria",80310290,1,3,0,1,1,70,87,-0.270579762271141,2
"171","CuritibaFazendinha",178000,"Curitiba","Fazendinha",81320000,1,2,0,1,1,56,66,-0.282978625265449,2
"172","PiraquaraCentro",155000,"Piraquara","Centro",83301000,1,2,0,1,1,57,90,-0.349144896913706,2
"173","CuritibaEcoville",3700000,"Curitiba","Ecoville",81200110,1,3,3,6,4,434,630,0.155132554627676,2
"174","CuritibaAhu",1249885,"Curitiba","Ahu",80540260,1,3,3,4,3,149,267,1.62452243712246,1
"175","CuritibaPinheirinho",251062000,"Curitiba","Pinheirinho",81150315,1,2,1,2,1,51,78,1.33557532857388,2
"176","CuritibaUberaba",292217,"Curitiba","Uberaba",81570160,1,3,0,1,1,64,102,-0.270432126202608,2
"177","CuritibaEcoville",1600000,"Curitiba","Ecoville",81200100,1,3,3,6,3,214,318,0.155132554627676,2
"178","CuritibaBigorrilho",385000,"Curitiba","Bigorrilho",80730400,1,3,0,1,1,82,111,0.157006899057248,2
"179","CuritibaAgua Verde",800000,"Curitiba","Agua Verde",80240140,1,2,2,2,2,98,124,0.35601609019606,2
"180","CuritibaAgua Verde",1795000,"Curitiba","Agua Verde",80240090,1,4,2,4,3,233,350,0.35601609019606,2
"181","CuritibaSanta Quiteria",270000,"Curitiba","Santa Quiteria",80310230,1,1,0,1,1,40,100,-0.270579762271141,2
"182","CuritibaCentro",260000,"Curitiba","Centro",80510030,1,1,0,1,0,34,49,0.610945818470473,2
"183","CuritibaCampo Comprido",265000,"Curitiba","Campo Comprido",81230170,1,2,1,2,1,65,80,-0.212594402639083,2
"184","CuritibaBoa Vista",535000,"Curitiba","Boa Vista",82540060,1,2,2,2,2,154,154,0.65680484212823,2
"185","CuritibaBatel",636700,"Curitiba","Batel",80420090,1,1,1,1,1,63,63,-0.166557716180536,2
"186","CuritibaMossungue",1436000,"Curitiba","Mossungue",81200010,1,3,3,5,3,181,330,5.5332818212284,1
"187","CuritibaAlto da Gloria",2350000,"Curitiba","Alto da Gloria",80030230,1,3,3,4,3,230,230,-0.159396553473786,2
"188","CuritibaBatel",689800,"Curitiba","Batel",80320010,1,3,1,2,2,83,158,-0.166557716180536,2
"189","CuritibaVila Izabel",535000,"Curitiba","Vila Izabel",80320070,1,3,1,3,2,100,100,0.774648665651767,2
"190","CuritibaCentro Civico",300000,"Curitiba","Centro Civico",80530010,1,3,0,1,1,80,135,-0.174155988148738,2
"191","CuritibaCristo Rei",280000,"Curitiba","Cristo Rei",80050470,1,2,0,1,1,493320,75475,-0.238827454619527,2
"192","CuritibaAgua Verde",500000,"Curitiba","Agua Verde",80620010,1,3,1,4,1,111,170,0.35601609019606,2
"193","CuritibaCristo Rei",410000,"Curitiba","Cristo Rei",80050380,1,2,1,2,1,66,117,-0.238827454619527,2
"194","CuritibaCentro",250000,"Curitiba","Centro",80060205,1,1,0,1,0,33,55,0.610945818470473,2
"195","CuritibaJuveve",1300000,"Curitiba","Juveve",80530336,1,4,2,5,2,229,345,1.72174867170529,1
"196","CuritibaCentro",315000,"Curitiba","Centro",80530000,1,1,1,1,1,38,57,0.610945818470473,2
"197","CuritibaNovo Mundo",220000,"Curitiba","Novo Mundo",81020010,1,2,0,1,1,54,75,1.40282914299853,2
"198","CuritibaCristo Rei",1150000,"Curitiba","Cristo Rei",80050345,1,3,1,4,2,222,330,-0.238827454619527,2
"199","Fazenda Rio GrandeEstados",107500,"Fazenda Rio Grande","Estados",83830743,1,2,0,1,1,45,45,-0.289123369453484,2
"200","CuritibaAlto da Gloria",1195000,"Curitiba","Alto da Gloria",80030000,1,3,3,5,2,139,282,-0.159396553473786,2
"201","CuritibaCampo Comprido",360000,"Curitiba","Campo Comprido",81220190,1,3,1,1,1,73,73,-0.212594402639083,2
"202","CuritibaMossungue",879889,"Curitiba","Mossungue",81200230,1,3,1,4,2,214,125,5.5332818212284,1
"203","CuritibaUberaba",169000,"Curitiba","Uberaba",81550380,1,3,0,1,1,53,59,-0.270432126202608,2
"204","CuritibaCampo Comprido",1350000,"Curitiba","Campo Comprido",81200521,1,4,2,3,3,168,290,-0.212594402639083,2
"205","CuritibaBigorrilho",1500000,"Curitiba","Bigorrilho",80430190,1,4,3,3,4,200,200,0.157006899057248,2
"206","CuritibaPortao",850000,"Curitiba","Portao",80610330,1,3,1,3,2,113,131,-0.242681670098644,2
"207","CuritibaBoa Vista",368588,"Curitiba","Boa Vista",80035130,1,2,0,1,1,64,84,0.65680484212823,2
"208","CuritibaEcoville",4000000,"Curitiba","Ecoville",81200580,1,4,4,6,4,459,664,0.155132554627676,2
"209","CuritibaNovo Mundo",320000,"Curitiba","Novo Mundo",81050310,1,2,1,2,1,59,112,1.40282914299853,2
"210","CuritibaAlto da Gloria",1238000,"Curitiba","Alto da Gloria",80030130,1,3,3,4,3,170,380,-0.159396553473786,2
"211","Campo LargoCentro",165000,"Campo Largo","Centro",83602616,1,3,0,1,1,66,66,-0.273176782660301,2
"212","CuritibaParolin",874000,"Curitiba","Parolin",80220051,1,3,1,2,2,156,249,-0.269743261926172,2
"213","CuritibaMerces",1100000,"Curitiba","Merces",80430100,1,2,1,3,3,115,203,-0.218963178289305,2
"214","CuritibaBatel",1547600,"Curitiba","Batel",80250070,1,4,3,5,3,194,345,-0.166557716180536,2
"215","CuritibaBatel",949800,"Curitiba","Batel",80420160,1,3,3,5,3,133,225,-0.166557716180536,2
"216","CuritibaCentro",500000,"Curitiba","Centro",80410200,1,3,1,1,1,125,167,0.610945818470473,2
"217","CuritibaMossungue",469126,"Curitiba","Mossungue",81210000,1,3,1,2,1,80,120,5.5332818212284,1
"218","CuritibaAgua Verde",750000,"Curitiba","Agua Verde",80620110,1,3,1,2,2,95,175,0.35601609019606,2
"219","CuritibaBigorrilho",1149000,"Curitiba","Bigorrilho",80730400,1,4,1,5,3,280,365,0.157006899057248,2
"220","CuritibaTingui",248000,"Curitiba","Tingui",82600030,1,2,1,2,1,53,78,2.76747025686138,2
"221","CuritibaMerces",1480000,"Curitiba","Merces",80430030,1,3,3,5,3,242,398,-0.218963178289305,2
"222","CuritibaAgua Verde",910000,"Curitiba","Agua Verde",80240240,1,3,1,1,2,150,245,0.35601609019606,2
"223","CuritibaAgua Verde",1700000,"Curitiba","Agua Verde",80240290,1,4,3,5,4,292,524,0.35601609019606,2
"224","CuritibaSeminario",270000,"Curitiba","Seminario",80740510,1,2,0,1,1,52,89,-0.224058770046708,2
"225","CuritibaAgua Verde",760000,"Curitiba","Agua Verde",80240021,1,3,1,2,2,103,150,0.35601609019606,2
"226","CuritibaBacacheri",349889,"Curitiba","Bacacheri",82620010,1,2,1,2,1,69,104,1.12257117600166,2
"227","CuritibaAgua Verde",380000,"Curitiba","Agua Verde",80220240,1,3,1,2,1,137,137,0.35601609019606,2
"228","CuritibaPinheirinho",222000,"Curitiba","Pinheirinho",81820020,1,3,1,2,1,61,79,1.33557532857388,2
"229","CuritibaEcoville",1495000,"Curitiba","Ecoville",81200110,1,3,3,4,2,189,305,0.155132554627676,2
"230","CuritibaCentro",250000,"Curitiba","Centro",80010180,1,3,0,2,0,118,118,0.610945818470473,2
"231","CuritibaAlto da Gloria",2500000,"Curitiba","Alto da Gloria",80040140,1,3,3,5,4,438,512,-0.159396553473786,2
"232","CuritibaXaxim",200000,"Curitiba","Xaxim",81830270,1,3,0,1,1,64,75,-0.281937265951283,2
"233","CuritibaNovo Mundo",850000,"Curitiba","Novo Mundo",81020430,1,3,3,4,2,122,206,1.40282914299853,2
"234","CuritibaBacacheri",470000,"Curitiba","Bacacheri",82515260,1,3,1,1,2,77,162,1.12257117600166,2
